City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1,Mahebourg,MU,76.24,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Isangel,VU,83.46,overcast clouds,-19.55,169.2667,Tanna Lodge
4,Hun,LY,70.16,clear sky,29.1268,15.9477,Alrwasi Hotel
6,Hithadhoo,MV,83.19,clear sky,-0.6,73.0833,Scoop Guest House
7,Ligayan,PH,79.39,overcast clouds,4.6533,119.4706,
8,Gizo,SB,84.09,broken clouds,-8.103,156.8419,Imagination Island
9,Paro,BT,54.32,overcast clouds,27.4305,89.4133,Metta Resort and Spa
10,New Norfolk,AU,60.93,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
11,Dwarka,IN,77.79,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
12,Rikitea,PF,75.24,clear sky,-23.1203,-134.9692,People ThankYou
13,Porbandar,IN,76.84,clear sky,21.6422,69.6093,Lords Inn Porbandar
15,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Hain
16,Coihaique,CL,41.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
18,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
19,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Esperance,AU,75.58,scattered clouds,-33.8667,121.9,Hospitality Esperance
24,Muros,ES,47.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
25,Breznik,BG,41.86,overcast clouds,42.7414,22.8981,"Guest House ""Margarita"""
26,Mount Gambier,AU,65.01,scattered clouds,-37.8333,140.7667,The Commodore
27,Atakpame,TG,76.06,overcast clouds,7.5333,1.1333,Hôtel sahélien
28,Bredasdorp,ZA,59.77,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
31,Biak,ID,79.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
32,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
34,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
35,Saint-Philippe,RE,73.11,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Chake Chake,TZ,78.98,broken clouds,-5.2459,39.7666,Hotel Archipelago
37,San Juan,AR,66.33,clear sky,-31.5375,-68.5364,Hotel Provincial
38,Port Alfred,ZA,63.18,light rain,-33.5906,26.891,The Halyards Hotel
40,Penzance,GB,42.01,few clouds,50.1186,-5.5371,Artist Residence Penzance
