City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,78.53,78,100,13.8,overcast clouds
1,Mahebourg,MU,-20.4081,57.7,76.24,100,75,17.27,light intensity shower rain
2,Isangel,VU,-19.55,169.2667,83.46,78,100,6.67,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,81,20,9.22,few clouds
4,Hun,LY,29.1268,15.9477,70.16,16,2,13.91,clear sky
5,Severo-Kurilsk,RU,50.6789,156.125,30.02,70,100,27.13,overcast clouds
6,Hithadhoo,MV,-0.6,73.0833,83.19,70,8,6.78,clear sky
7,Ligayan,PH,4.6533,119.4706,79.39,84,100,17.6,overcast clouds
8,Gizo,SB,-8.103,156.8419,84.09,71,78,8.08,broken clouds
9,Paro,BT,27.4305,89.4133,54.32,90,99,2.33,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,60.93,58,10,1.01,clear sky
11,Dwarka,IN,22.2394,68.9678,77.79,73,0,7.94,clear sky
12,Rikitea,PF,-23.1203,-134.9692,75.24,58,7,7.56,clear sky
13,Porbandar,IN,21.6422,69.6093,76.84,74,1,6.67,clear sky
14,Mortka,RU,59.3322,66.0214,12.06,98,88,4.65,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,6.91,clear sky
16,Coihaique,CL,-45.5752,-72.0662,41.61,87,0,3.44,clear sky
17,Margate,GB,51.3813,1.3862,39.87,60,22,4.0,few clouds
18,Butaritari,KI,3.0707,172.7902,81.64,77,41,16.4,scattered clouds
19,Saint George,US,37.1041,-113.5841,79.63,16,0,11.5,clear sky
20,Hermanus,ZA,-34.4187,19.2345,60.8,84,3,12.37,clear sky
21,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,8.05,overcast clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,78.55,96,62,3.0,broken clouds
23,Esperance,AU,-33.8667,121.9,75.58,39,42,11.21,scattered clouds
24,Muros,ES,42.7762,-9.0603,47.08,69,7,15.41,clear sky
25,Breznik,BG,42.7414,22.8981,41.86,74,100,6.69,overcast clouds
26,Mount Gambier,AU,-37.8333,140.7667,65.01,60,48,6.08,scattered clouds
27,Atakpame,TG,7.5333,1.1333,76.06,71,96,3.38,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,59.77,81,43,6.51,scattered clouds
29,Pangnirtung,CA,66.1451,-65.7125,15.58,85,96,6.06,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,26.76,95,100,16.33,light snow
31,Biak,ID,-0.9131,122.8766,79.56,80,100,3.76,overcast clouds
32,Salalah,OM,17.0151,54.0924,73.49,49,0,3.44,clear sky
33,Jamestown,US,42.097,-79.2353,39.52,62,0,6.91,clear sky
34,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,38,0,18.41,clear sky
35,Saint-Philippe,RE,-21.3585,55.7679,73.11,92,100,16.67,moderate rain
36,Chake Chake,TZ,-5.2459,39.7666,78.98,79,70,4.27,broken clouds
37,San Juan,AR,-31.5375,-68.5364,66.33,26,0,7.63,clear sky
38,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,5.01,light rain
39,Saskylakh,RU,71.9167,114.0833,-0.11,96,100,10.36,overcast clouds
40,Penzance,GB,50.1186,-5.5371,42.01,75,12,7.61,few clouds
41,Chokurdakh,RU,70.6333,147.9167,1.42,91,30,4.72,scattered clouds
42,Atuona,PF,-9.8,-139.0333,79.7,75,4,16.37,clear sky
43,Bosaso,SO,11.2842,49.1816,78.55,63,0,11.56,clear sky
44,Port Lincoln,AU,-34.7333,135.8667,65.55,64,3,6.93,clear sky
45,Monrovia,LR,6.3005,-10.7969,76.62,89,100,6.24,light rain
46,Khakhea,BW,-24.6895,23.494,72.14,62,95,9.33,overcast clouds
47,Kissidougou,GN,9.1848,-10.0999,69.19,93,100,4.38,moderate rain
48,Mar Del Plata,AR,-38.0023,-57.5575,61.88,78,0,20.0,clear sky
49,Inuvik,CA,68.3499,-133.7218,-7.24,90,89,5.03,overcast clouds
50,Thompson,CA,55.7435,-97.8558,20.25,94,100,2.86,overcast clouds
51,Tiksi,RU,71.6872,128.8694,1.06,98,100,7.29,overcast clouds
52,Airai,TL,-8.9266,125.4092,71.42,47,60,1.7,broken clouds
53,Hobart,AU,-42.8794,147.3294,61.27,73,100,8.05,overcast clouds
54,Novyy Urengoy,RU,66.0833,76.6333,-3.24,100,95,6.62,overcast clouds
55,Souillac,MU,-20.5167,57.5167,75.58,100,75,17.27,light intensity shower rain
56,Dikson,RU,73.5069,80.5464,-5.46,100,26,8.12,scattered clouds
57,Nijar,ES,36.9665,-2.206,49.66,62,0,9.22,clear sky
58,Bluff,NZ,-46.6,168.3333,58.19,71,92,18.23,overcast clouds
59,Qaanaaq,GL,77.484,-69.3632,8.56,75,25,7.14,scattered clouds
60,Yellowknife,CA,62.456,-114.3525,6.57,42,100,8.01,overcast clouds
61,Talas,TR,38.6908,35.5538,39.87,56,0,5.75,clear sky
62,Punta Gorda,US,26.9298,-82.0454,70.02,89,100,11.99,overcast clouds
63,Maceio,BR,-9.6658,-35.7353,74.64,88,20,2.3,few clouds
64,Cape Town,ZA,-33.9258,18.4232,62.35,73,0,5.99,clear sky
65,Fortuna,US,40.5982,-124.1573,55.92,72,0,11.5,clear sky
66,Clyde River,CA,70.4692,-68.5914,10.63,92,100,6.91,fog
67,Kodiak,US,57.79,-152.4072,40.51,75,40,4.61,scattered clouds
68,Lashio,MM,22.9333,97.75,68.9,50,18,3.06,few clouds
69,Lasa,IT,46.6166,10.7002,17.94,94,96,5.68,overcast clouds
70,Provost,CA,52.3501,-110.2683,42.57,60,100,7.29,overcast clouds
71,Roebourne,AU,-20.7833,117.1333,84.47,65,0,4.92,clear sky
72,Pevek,RU,69.7008,170.3133,-0.74,88,100,1.5,overcast clouds
73,Rasht,IR,37.2808,49.5832,62.29,53,7,0.38,clear sky
74,Provideniya,RU,64.3833,-173.3,18.36,52,0,11.88,clear sky
75,Bengkulu,ID,-3.8004,102.2655,79.07,71,25,3.94,scattered clouds
76,Damara,CF,4.9608,18.7035,76.78,69,97,6.78,overcast clouds
77,Waverley,ZA,-25.7023,28.2591,66.52,58,80,8.01,broken clouds
78,Naze,JP,28.3667,129.4833,61.25,73,100,15.3,light rain
79,Upernavik,GL,72.7868,-56.1549,7.12,98,98,10.8,overcast clouds
80,Port Augusta,AU,-32.5,137.7667,71.65,32,7,2.13,clear sky
81,Porto Novo,BJ,6.4965,2.6036,81.32,83,100,8.16,overcast clouds
82,Oksfjord,NO,70.2396,22.3479,10.99,87,82,7.47,broken clouds
83,Pochutla,MX,15.7432,-96.4661,82.81,59,32,4.65,scattered clouds
84,Senno,RU,59.5336,33.9167,12.47,96,23,3.71,few clouds
85,Castro,BR,-24.7911,-50.0119,58.55,97,100,9.08,overcast clouds
86,Albany,US,42.6001,-73.9662,41.92,59,100,5.1,overcast clouds
87,Yumen,CN,40.2833,97.2,49.59,13,1,17.47,clear sky
88,Busselton,AU,-33.65,115.3333,71.02,84,92,12.91,overcast clouds
89,North Platte,US,41.1239,-100.7654,61.12,32,0,6.91,clear sky
90,Kaitangata,NZ,-46.2817,169.8464,64.62,53,88,7.78,overcast clouds
91,Roma,US,43.2128,-75.4557,38.52,61,0,3.44,clear sky
92,East London,ZA,-33.0153,27.9116,67.39,87,100,12.95,light rain
93,Ribeira Grande,PT,38.5167,-28.7,59.9,74,100,19.51,overcast clouds
94,Mattru,SL,7.6244,-11.8332,75.0,95,100,3.11,overcast clouds
95,Boa Vista,BR,2.8197,-60.6733,85.98,54,75,9.22,broken clouds
96,Vaini,TO,-21.2,-175.2,86.16,74,40,5.75,scattered clouds
